label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
2	1675 m^3	1.4804	computer science	Technology And Information Management, Statistics, Computer Science	1.2781	2160	0.482	0.2346	-571	RAT	1.0228	188
2	786 m^3	1.659	Computer Science	Natural Language Processing	0.5615	611	0.6517	0.0354	1773	?	0.3213	1258
1	133 m^3	-0.142	Computer Engineering	Games and Playable Media, Computer Science	0.7352	1255	0.0109	0.2978	659	pig	1.6093	1259
2	2086 m^3	0.5385	Computer Science	Natural Language Processing	0.3008	-546	-0.4055	1.298	-779	DOG	-0.3082	-772
2	598 m^3	0.2668	Computer Science	Natural Language Processing	0.5279	-621	-0.3749	-0.978	1059	rat	0.0595	-781
1	1510 m^3	2.5962	Data Science	Games and Playable Media	0.7417	1543	-0.6746	0.9453	36	pig	-0.0413	1324
0	-827 m^3	0.0496	Computational Media	Games and Playable Media, Computer Science	0.6139	1763	0.4374	0.7635	2520	hamster	1.1052	-274
1	-692 m^3	0.4661	Data Science	Statistics	2.2379	1015	1.8087	-0.8423	808	pig	2.0539	1644
3	2145 m^3	1.5489	Statistics	Data Science	-1.5482	2085	0.6649	1.1258	1104	cat	0.927	2663
4	54 m^3	0.3171	Computer Game Design	Computer Game Design, Computer Engineering, Robotics Engineering	-0.0659	2013	-0.4195	0.4579	1628	ferret	1.1958	1197
4	-1370 m^3	0.5346	Computer Game Design	Computer Engineering, Biotechnology, Robotics Engineering	0.8761	2717	-0.5239	0.1371	92	fish, ferret	1.3397	1831
0	1114 m^3	1.0156	STATISTICS	Electrical Engineering, Bioengineering, Bioinformatics	0.5716	1237	-1.0717	-1.0494	1248	hamster, rabbit	0.8684	443
4	650 m^3	0.4004	Computer Game Design	Computer Engineering, Computer Game Design	0.214	1485	0.0693	-1.5946	318	fish	0.8038	1795
3	1098 m^3	0.5392	Robotics Engineering	Robotics Engineering	0.6864	1671	1.7853	0.5494	1424	cat	-0.7023	99
3	None	-0.3149	Applied Mathematics	Biotechnology	0.7588	1442	0.1294	1.6584	422	cat	-0.3252	1437
4	?	-0.0715	Computer Game Design	Computer Engineering, Computer Game Design, Robotics Engineering	0.1816	-1740	-0.4392	0.2405	-4	reptile	-0.2572	1936
0	57 m^3	-0.2076	Games and Playable Media	Computational Media, Bioinformatics	0.3403	1881	0.7165	1.9548	-230	rabbit, guinea pig	0.177	628
1	1245 m^3	0.0515	Natural Language Processing	Statistics	-0.4114	-999	0.4018	0.1436	468	pig	0.4956	278
